Sklep;Nazwa;Model;Cena;Data;Pojemność;Format;Typ podłączenia;MaksPredkoscOdczytu;Maks prędkość zapisu
MediaMarkt;SAMSUNG;980 PCIe 3.0 NVMe M.2 SSD 1TB MZ-V8V1T0BW;289;2023.06.24;1 TB;M.2 2280;PCI-e gen 3 x4 NVMe;3500;3000
MediaMarkt;SAMSUNG;1TB M.2 PCIe Gen4 NVMe 980 PRO MZ-V8P1T0BW;399;2023.06.24;1 TB;M.2 2280;PCl-e gen 4 x4 NVMe;7000;5000
MediaMarkt;SAMSUNG;980 PCIe 3.0 NVMe M.2 SSD 500GB MZ-V8V500BW;159;2023.06.24;500 GB;M.2 2280;PCI-e gen 3 x4 NVMe;3100;2600
MediaMarkt;SAMSUNG;870 Evo;189;2023.06.24;500 GB;2.5;SATA III (6 Gb/s);560;530
MediaMarkt;GOODRAM;CX400 GEN.2 1TB SATA III 2,5 SSDPR-CX400-01T-G2;199;2023.06.24;1 TB;2.5;SATA III (6 Gb/s);550;500
MediaMarkt;GOODRAM;CX400 GEN.2 256GB SATA III 2,5 SSDPR-CX400-256-G2;74;2023.06.24;256 GB;2.5;SATA III (6 Gb/s);550;480
MediaMarkt;GOODRAM;CX400 GEN.2 512GB SATA III 2,5 SSDPR-CX400-512-G2;109;2023.06.24;512 GB;2.5;SATA III (6 Gb/s);550;500
MediaMarkt;SAMSUNG;500GB M.2 PCIe Gen4 NVMe 980 PRO MZ-V8P500BW;279;2023.06.24;500 GB;M.2 2280;PCl-e gen 4 x4 NVMe;6900;5000
MediaMarkt;SAMSUNG;970 EVO Plus NVMe M.2 500GB MZ-V7S500BW;199;2023.06.24;500 GB;M.2 2280;PCI-e gen 3 x4 NVMe;3500;3200
MediaMarkt;SAMSUNG;990 Pro PCle 4.0 NVMe M.2 SSD 1TB MZ-V9P1T0BW;529;2023.06.24;1 TB;M.2 2280;PCI-e gen 4 x4 NVMe 2.0;7450;6900
MediaMarkt;GOODRAM;PX500 gen. 2 256GB NVMe SSDPR-PX500-256-80-G2;89;2023.06.24;256 GB;M.2 2280;PCI-e gen 3 x4 NVMe;1850;950
MediaMarkt;SAMSUNG;870 Evo;339;2023.06.24;1 TB;2.5;SATA III (6 Gb/s);560;530
