Title,Price,Date
"Laptop Acer Aspire 3 A315-23-R1AF 15,6 AMD Ryzen 5 3500U - 8GB RAM - 512GB Dysk - Win11",1 999 zł,2022-12-23
"Laptop Acer Aspire 5 A515-45-R3GZ 15,6 AMD Ryzen 5 5500U - 16GB RAM - 512GB Dysk - Win11",2 699 zł,2022-12-23
"Laptop ASUS X515JA-BQ3327W 15,6 Intel® CoreTM i3-1005G1 - 8GB RAM - 512GB Dysk - Win11",1 899 zł,2022-12-23
"Laptop ASUS Vivobook Pro 15 K3500PC-KJ200W 15,6 Intel® CoreTM i7-11370H - 16GB RAM - 512GB Dysk - RTX3050 Grafika - Win11",4 199 zł,2022-12-23
"Laptop ASUS X515JA-BQ3409W 15,6 Intel® CoreTM i5-1035G1 - 16GB RAM - 512GB Dysk - Win11",2 499 zł,2022-12-23
"Laptop ASUS X515EA-BQ3084W 15,6 Intel® CoreTM i5-1135G7 - 16GB RAM - 512GB Dysk - Win11",2 499 zł,2022-12-23
"Laptop HP Victus 15-fb0132nw 15,6 144Hz AMD Ryzen 5 5600H - 16GB RAM - 512GB Dysk - RTX3050 Grafika - Win11",3 899 zł,2022-12-23
"Laptop Acer Aspire 3 A315-58-376J 15,6 Intel® CoreTM i3-1115G4 - 8GB RAM - 256GB Dysk - Win11S",1 799 zł,2022-12-23
"Laptop Lenovo IdeaPad 3 15ALC6 15,6 AMD Ryzen 7 5700U - 8GB RAM - 512GB Dysk - Win11",2 299 zł,2022-12-23
"Laptop HP Victus 16-e0212nw 16,1 144Hz AMD Ryzen 7 5800H - 16GB RAM - 1TB SSD Dysk - RTX3060 Grafika - Win11",4 999 zł,2022-12-23
"Laptop Apple Macbook Pro M2 13,3 Apple M2 - 8GB RAM - 256GB Dysk - macOS (gwiezdna szarość)",6 399 zł,2022-12-23
"Laptop Apple MacBook Air M1 13,3 Apple M1 - 8GB RAM - 256GB Dysk - macOS (złoty) US",5 399 zł,2022-12-23
"Laptop HP Victus 15-fb0122nw 15,6 144Hz AMD Ryzen 5 5600H - 16GB RAM - 512GB Dysk - GTX1650 Grafika - Win11",3 749 zł,2022-12-23
"Laptop Acer Nitro 5 AN515-57-55ZS 15,6 144Hz Intel® CoreTM i5-11400H - 16GB RAM - 512GB Dysk - RTX3060 Grafika - Win11",4 999 zł,2022-12-23
"Laptop Apple MacBook Air M1 13,3 Apple M1 - 8GB RAM - 256GB Dysk - macOS (gwiezdna szarość) US",5 499 zł,2022-12-23
"Laptop ASUS TUF Gaming F15 FX506LHB-HN323 15,6 144Hz Intel® CoreTM i5-10300H - 8GB RAM - 512GB Dysk - GTX1650 Grafika",3 899 zł,2022-12-23
"Laptop Apple MacBook Air M1 13,3 Apple M1 - 8GB RAM - 256GB Dysk - macOS (srebrny) US",5 899 zł,2022-12-23
"Laptop Lenovo IdeaPad 3 15ITL6 15,6 Intel® CoreTM i3-1115G4 - 8GB RAM - 512GB Dysk - Win11S",1 999 zł,2022-12-23
"Laptop HP 15s-eq2152nw 15,6 AMD Ryzen 3 5300U - 8GB RAM - 256GB Dysk - Win11",1 899 zł,2022-12-23
"Laptop ASUS TUF Gaming F15 FX506HM-HN017W 15,6 144Hz Intel® CoreTM i5-11400H - 16GB RAM - 512GB Dysk - RTX3060 Grafika - Win11",5 799 zł,2022-12-23
"Laptop Dell Inspiron 3525-6518 15,6 120Hz AMD Ryzen 5 5625U - 8GB RAM - 512GB Dysk - Win11",2 399 zł,2022-12-23
"Laptop ASUS X515JA-BQ3211W 15,6 Intel® CoreTM i5-1035G1 - 8GB RAM - 512GB Dysk - Win11",2 199 zł,2022-12-23
"Laptop Acer Aspire 3 A315-58-59PM 15,6 Intel® CoreTM i5-1135G7 - 16GB RAM - 512GB Dysk - Win11",2 799 zł,2022-12-23
"Laptop Lenovo Legion 5 15ACH6H 15,6 165Hz AMD Ryzen 5 5600H - 16GB RAM - 512GB Dysk - RTX3060 Grafika - Win11",5 499 zł,2022-12-23
"Laptop Apple MacBook Pro M2 13,3 Apple M2 - 8GB RAM - 256GB Dysk - macOS (gwiezdna szarość) US",7 199 zł,2022-12-23
"Laptop Apple MacBook Air M1 13,3 Apple M1 - 16GB RAM - 256GB Dysk - macOS (gwiezdna szarość)",6 499 zł,2022-12-23
"Laptop Apple MacBook Air M1 13,3 Apple M1 - 8GB RAM - 256GB Dysk - macOS (gwiezdna szarość)",4 999 zł,2022-12-23
"Laptop HP Victus 15-fb0222nw 15,6 144Hz AMD Ryzen 5 5600H - 16GB RAM - 512GB Dysk - GTX1650 Grafika",3 299 zł,2022-12-23
"Laptop ASUS X515EA-BQ1445W 15,6 Intel® CoreTM i5-1135G7 - 8GB RAM - 512GB Dysk - Win11",2 799 zł,2022-12-23
"ASUS Vivobook 15X X1503ZA-L1236W OLED 15,6 Intel® CoreTM i5-12500H - 16GB RAM - 512GB Dysk - Win11",3 799 zł,2022-12-23
"Laptop Apple MacBook Air M1 13,3 Apple M1 - 16GB RAM - 256GB Dysk - macOS (złoty)",5 849 zł,2022-12-23
"Laptop Acer Aspire 3 A315-23-R9B9 15,6 AMD Ryzen 5 3500U - 8GB RAM - 256GB Dysk - Win11",1 899 zł,2022-12-23
"Laptop ASUS TUF Gaming F15 FX506LHB-HN323W 15,6 144Hz Intel® CoreTM i5-10300H - 8GB RAM - 512GB Dysk - GTX1650 Grafika - Win11",4 499 zł,2022-12-23
"Laptop Lenovo IdeaPad Gaming 3 15IAH7 15,6 120Hz Intel® CoreTM i5-12450H - 16GB RAM - 512GB Dysk - RTX3060 Grafika - Win11",4 799 zł,2022-12-23
"Laptop HP Pavilion Aero 13-be0812nw 13,3'' AMD Ryzen 5 5600U - 16GB RAM - 512GB Dysk - Win11",3 499 zł,2022-12-23
"Laptop Acer Chromebook Spin 513 CP513-1H-S2PE 13,3 Qualcomm Snapdragon 7c - 8GB RAM - 64GB Dysk - ChromeOS",1 999 zł,2022-12-23
"Laptop Apple MacBook Air M2 13,6 Apple M2 - 8GB RAM - 256GB Dysk - macOS (północ)",6 079 zł,2022-12-23
"Laptop Acer Chromebook CB315-3H-C2ED 15,6 Intel® CeleronTM N4020 8GB RAM - 128GB Dysk - ChromeOS",1 399 zł,2022-12-23
"Laptop Apple MacBook Air M2 13,6 Apple M2 - 8GB RAM - 256GB Dysk - macOS (gwiezdna szarość) US",5 999 zł,2022-12-23
"ASUS E210MA-GJ322WS 11,6 Intel® CeleronTM N4020 - 4GB RAM - 128GB Dysk - Win11S",1 199 zł,2022-12-23
"Laptop Lenovo IdeaPad 3 15ALC6 15,6 AMD Ryzen 3 5300U - 8GB RAM - 512GB Dysk - Win11S",1 849 zł,2022-12-23
"Laptop Lenovo IdeaPad Gaming 3 15IHU6 15,6 120Hz Intel® CoreTM i5-11320H - 16GB RAM - 512GB Dysk - GTX1650 Grafika - Win11",3 499 zł,2022-12-23
"Laptop Apple MacBook Pro 2021 14,2 Apple M1 Pro - 16GB RAM - 512GB Dysk - macOS (srebrny)",10 599 zł,2022-12-23
"Laptop Lenovo Legion 5 15ACH6H 15,6 165Hz AMD Ryzen 7 5800H - 16GB RAM - 512GB Dysk - RTX3060 Grafika - Win11",5 849 zł,2022-12-23
"Laptop Acer Aspire 5 A515-57-51BU 15,6 Intel® CoreTM i5-1235U - 16GB RAM - 512GB Dysk - Win11",3 299 zł,2022-12-23
"Laptop Apple MacBook Air M1 13,3 Apple M1 - 8GB RAM - 256GB Dysk - macOS (złoty)",4 849 zł,2022-12-23
ASUS ZenBook 14 UX3402ZA-KP374W 14'' Intel® CoreTM i5-1240P - 16GB RAM - 512GB Dysk - Win11,4 599 zł,2022-12-23
"Laptop Acer Nitro 5 AN515-57-72CC 15,6 144Hz Intel® CoreTM i7-11800H - 16GB RAM - 1TB Dysk - RTX3070 Grafika - Win11",6 799 zł,2022-12-23
"Laptop ASUS X515EA-BQ3082W 15,6 Intel® CoreTM i5-1135G7 - 8GB RAM - 512GB Dysk - Win11",2 199 zł,2022-12-23
"Laptop ASUS TUF Gaming A15 2022 FA507RE-HN031 15,6'' 144Hz AMD Ryzen 7 6800H - 16GB RAM - 512GB Dysk - RTX3050Ti Grafika",5 599 zł,2022-12-23
"Laptop Apple MacBook Air M1 13,3 Apple M1 - 8GB RAM - 256GB Dysk - macOS (srebrny)",4 999 zł,2022-12-23
"Laptop Lenovo IdeaPad Gaming 3 15IHU6 15,6 120Hz Intel® CoreTM i5-11300H - 16GB RAM - 512GB Dysk - RTX3050 Grafika - Win11",3 849 zł,2022-12-23
"Laptop ASUS VivoBook 15 K513EA-L11957W OLED 15,6 Intel® CoreTM i5-1135G7 - 16GB RAM - 512GB Dysk - Win11",4 199 zł,2022-12-23
