Sklep;Nazwa;Model;Cena;Data;Złącza;Czas reakcji;Przekątna;Rozdzielczość;Matryca
MediaMarkt;SAMSUNG;Odyssey G5;999;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 2.0;1 (MPRT);"27""";2560 x 1440 (Quad HD);VA
MediaMarkt;SAMSUNG;LS24C310EAUXEN 24;489;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;5 (GTG);"24""";1920 x 1080 (Full HD);IPS
MediaMarkt;IIYAMA;G-Master GB2770HSU-B5;959;2023.06.24;1x DisplayPort, 1x HDMI;0.8 (MPRT);"27""";1920 x 1080 (Full HD);Fast IPS IGZO
MediaMarkt;HP;V24i FHD;479;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;5 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;HP;M27f FHD;719;2023.06.24;1x D-Sub (VGA), 2x HDMI;5 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;IIYAMA;G-Master G2450HS-B1;539;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 1.4;1 (MPRT);"23.8""";1920 x 1080 (Full HD);VA
MediaMarkt;LG;UltraGear 27GP850P-B;1599;2023.06.24;1x DisplayPort, 2x HDMI;1 (GTG);"27""";2560 x 1440 (Quad HD);Nano IPS
MediaMarkt;SAMSUNG;Odyssey G4;1329;2023.06.24;1x DisplayPort, 2x HDMI;1 (GTG);"25""";1920 x 1080 (Full HD);IPS
MediaMarkt;ASUS;TUF Gaming;1499;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 2.0;1 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;ASUS;VY279HE 27;759;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;1 (MPRT);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;IIYAMA;G-Master GB2770QSU-B5;1549;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;0.5 (MPRT);"27""";2560 x 1440 (Quad HD);Fast IPS
MediaMarkt;SAMSUNG;Odyssey G5;1649;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 2.0;1 (GTG);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;SAMSUNG;Odyssey G7;2469;2023.06.24;1x HDMI 2.0, 2x DisplayPort 1.4;1 (GTG);"26.9""";2560 x 1440 (Quad HD);VA
