Sklep;Nazwa;Model;Cena;Data;Ekran;Procesor;Pamięć RAM;Pamięć wbudowana
MediaMarkt;SAMSUNG;;4199;2023.06.24;"6.1"" (1080 x 2400, Dotykowy, Infinity-O, Dynamic AMOLED 2X)";Qualcomm Snapdragon 8 Gen 2;8 GB;128 GB
MediaMarkt;SAMSUNG;S22 5G 8GB+128GB Czarny SM-S901BZKDEUE;2999;2023.06.24;"6.1"" (1080 x 2400, Dotykowy, Infinity-O, Dynamic AMOLED 2X)";Samsung Exynos 2200;8 GB;128 GB
MediaMarkt;SAMSUNG;M23 5G 4GB+128GB Zielony SM-M236BZGGEUE;899;2023.06.24;"6.6"" (1080 x 2408, TFT, Dotykowy)";Qualcomm Snapdragon 750G;4 GB;128 GB
MediaMarkt;APPLE;14 Pro 128GB Gwiezdna;5399;2023.06.24;"6.1"" (1179 x 2556, Dotykowy, OLED, Super Retina XDR)";Apple A16 Bionic;6 GB;128 GB
MediaMarkt;SAMSUNG;;649;2023.06.24;"6.6"" (1080 x 2040, Dotykowy, PLS)";Samsung Exynos 850;4 GB;64 GB
MediaMarkt;APPLE;14 Pro 128GB Głęboka;5449;2023.06.24;"6.1"" (1179 x 2556, Dotykowy, OLED, Super Retina XDR)";Apple A16 Bionic;6 GB;128 GB
MediaMarkt;APPLE;14 Pro 128GB;5449;2023.06.24;"6.1"" (1179 x 2556, Dotykowy, OLED, Super Retina XDR)";Apple A16 Bionic;6 GB;128 GB
MediaMarkt;SAMSUNG;M23 5G 4GB+128GB Niebieski SM-M236BLBGEUE;899;2023.06.24;"6.6"" (1080 x 2408, TFT, Dotykowy)";Qualcomm Snapdragon 750G;4 GB;128 GB
MediaMarkt;APPLE;14 Pro 128GB;5449;2023.06.24;"6.1"" (1179 x 2556, Dotykowy, OLED, Super Retina XDR)";Apple A16 Bionic;6 GB;128 GB
MediaMarkt;SAMSUNG;;649;2023.06.24;"6.6"" (1080 x 2040, Dotykowy, PLS)";Samsung Exynos 850;4 GB;64 GB
MediaMarkt;APPLE;14 128GB;4249;2023.06.24;"6.1"" (1170 x 2532, Dotykowy, OLED, Super Retina XDR)";Apple A15 Bionic;6 GB;128 GB
MediaMarkt;APPLE;13 mini 128GB;3439;2023.06.24;"5.4"" (1080 x 2340, Dotykowy, OLED, Super Retina XDR)";Apple A15 Bionic;4 GB;128 GB
