,titles,prices
0,Apple iPhone 13 128GB Midnight,"4 259,00 zł"
1,Motorola moto g42 4/128GB Atlantic Green,"878,00 zł"
2,Apple iPhone 13 Mini 128GB Midnight,"3 579,00 zł"
3,Xiaomi Redmi 9C NFC 3/64GB Midnight  Grey,"499,00 zł"
4,ASUS ZenFone 8 8/128GB Black,"1 999,00 zł"
5,Xiaomi Redmi 10 4/64GB Carbon Gray 90Hz,"749,00 zł"
6,Samsung Galaxy S20 FE 5G Fan Edition Niebieski,"2 499,00 zł"
7,Nothing Phone (1) 5G 8/256GB czarny 120Hz,"1 899,00 zł"
8,Apple iPhone 13 128GB Starlight,"4 259,00 zł"
9,realme 10 8+128 Clash White,"1 299,00 zł"
10,Motorola moto g82 5G 6/128GB Meteorite Grey 120Hz,"1 299,00 zł"
11,Apple iPhone 13 Mini 128GB Starlight,"3 579,00 zł"
12,Apple iPhone 11 64GB Black,"2 469,00 zł"
13,Apple iPhone 11 128GB White,"2 849,00 zł"
14,Samsung Galaxy A13 4/64GB Black,"849,00 zł"
15,Samsung Galaxy S21 FE 5G Fan Edition 8/256GB White,"3 249,00 zł"
16,ASUS ZenFone 8 8/128GB Silver,"1 999,00 zł"
17,Xiaomi Redmi 10C 4/128GB Ocean Blue,"749,00 zł"
18,Apple iPhone 11 64GB White,"2 469,00 zł"
19,Xiaomi Redmi Note 11 4/128GB Graphite Gray,"949,00 zł"
20,Apple iPhone 13 128GB Pink,"4 259,00 zł"
21,Nokia X10 Dual SIM 6/128 zielony 5G,"899,00 zł"
22,Xiaomi POCO M5 4/128GB Black,"799,00 zł"
23,Samsung Galaxy S20 FE 5G Fan Edition 8/256GB Lawendowy,"2 699,00 zł"
24,Samsung Galaxy A53 5G 6/128GB 120Hz Black,"1 799,00 zł"
25,Xiaomi Redmi Note 10 Pro 6/128GB Onyx Gray 120Hz,"1 299,00 zł"
26,ASUS ZenFone 9 8/128GB Black,"3 299,00 zł"
27,Xiaomi Redmi 9A 2/32GB Glacial Blue,"479,00 zł"
28,realme 9 Pro+ 6+128GB Aurora Green OIS 60W,"1 699,00 zł"
29,Motorola moto e20 2/32GB Coastal Blue,"398,00 zł"
30,Apple iPhone 13 128GB Midnight,"4 259,00 zł"
31,Motorola moto g42 4/128GB Atlantic Green,"878,00 zł"
32,Apple iPhone 13 Mini 128GB Midnight,"3 579,00 zł"
33,Xiaomi Redmi 9C NFC 3/64GB Midnight  Grey,"499,00 zł"
34,ASUS ZenFone 8 8/128GB Black,"1 999,00 zł"
35,Xiaomi Redmi 10 4/64GB Carbon Gray 90Hz,"749,00 zł"
36,Samsung Galaxy S20 FE 5G Fan Edition Niebieski,"2 499,00 zł"
37,Nothing Phone (1) 5G 8/256GB czarny 120Hz,"1 899,00 zł"
38,Apple iPhone 13 128GB Starlight,"4 259,00 zł"
39,realme 10 8+128 Clash White,"1 299,00 zł"
40,Motorola moto g82 5G 6/128GB Meteorite Grey 120Hz,"1 299,00 zł"
41,Apple iPhone 13 Mini 128GB Starlight,"3 579,00 zł"
42,Apple iPhone 11 64GB Black,"2 469,00 zł"
43,Apple iPhone 11 128GB White,"2 849,00 zł"
44,Samsung Galaxy A13 4/64GB Black,"849,00 zł"
45,Samsung Galaxy S21 FE 5G Fan Edition 8/256GB White,"3 249,00 zł"
46,ASUS ZenFone 8 8/128GB Silver,"1 999,00 zł"
47,Xiaomi Redmi 10C 4/128GB Ocean Blue,"749,00 zł"
48,Apple iPhone 11 64GB White,"2 469,00 zł"
49,Xiaomi Redmi Note 11 4/128GB Graphite Gray,"949,00 zł"
50,Apple iPhone 13 128GB Pink,"4 259,00 zł"
51,Nokia X10 Dual SIM 6/128 zielony 5G,"899,00 zł"
52,Xiaomi POCO M5 4/128GB Black,"799,00 zł"
53,Samsung Galaxy S20 FE 5G Fan Edition 8/256GB Lawendowy,"2 699,00 zł"
54,Samsung Galaxy A53 5G 6/128GB 120Hz Black,"1 799,00 zł"
55,Xiaomi Redmi Note 10 Pro 6/128GB Onyx Gray 120Hz,"1 299,00 zł"
56,ASUS ZenFone 9 8/128GB Black,"3 299,00 zł"
57,Xiaomi Redmi 9A 2/32GB Glacial Blue,"479,00 zł"
58,realme 9 Pro+ 6+128GB Aurora Green OIS 60W,"1 699,00 zł"
59,Motorola moto e20 2/32GB Coastal Blue,"398,00 zł"
60,Xiaomi Redmi Note 11S 5G 4/64GB Midnight Black,"899,00 zł"
61,Samsung Galaxy M13 4/64GB Green,"799,00 zł"
62,Apple iPhone 14 128GB Midnight,"4 999,00 zł"
63,Motorola moto e20 2/32GB Graphite Gray,"398,00 zł"
64,Xiaomi 11 Lite 5G NE 6/128GB Truffle Black ,"1 499,00 zł"
65,Xiaomi POCO M4 Pro 8/256GB Cool Blue,"1 199,00 zł"
66,Xiaomi POCO X4 Pro 5G 8/256GB Laser blue,"1 699,00 zł"
67,Xiaomi POCO M5 4/128GB Green,"799,00 zł"
68,Apple iPhone 13 128GB Blue,"4 299,00 zł"
69,Motorola moto g22 4/64 GB Cosmic Black 90Hz,"699,00 zł"
70,Samsung Galaxy S22 8/128GB Black,"3 399,00 zł"
71,Xiaomi Redmi 9C NFC 2/32GB Lavender Purple,"479,00 zł"
72,Samsung Galaxy A53 5G 6/128GB 120Hz Blue,"1 799,00 zł"
73,ASUS ZenFone 9 16/256GB Black,"3 799,00 zł"
74,Xiaomi Redmi 10C 4/64GB Ocean Blue ,"699,00 zł"
75,Samsung Galaxy S20 FE 5G Fan Edition Biały,"2 499,00 zł"
76,Motorola moto e22 4/64GB Astro Black,"599,00 zł"
77,OnePlus Nord 2T 5G 8/128GB Gray Shadow 90Hz,"1 849,00 zł"
78,Xiaomi Redmi 10C 4/128GB Graphite Gray NFC,"899,00 zł"
79,Xiaomi Redmi Note 11S 6/64GB Graphite Gray,"1 149,00 zł"
80,Xiaomi Redmi Note 11 4/64GB Graphite Gray,"899,00 zł"
81,Xiaomi Redmi 9C NFC 2/32GB Midnight Gray,"479,00 zł"
82,Samsung Galaxy S20 FE 5G Fan Edition Lawendowy ,"2 499,00 zł"
83,Xiaomi Redmi 9A 2/32GB Grey,"479,00 zł"
84,Motorola moto g72 8/128GB Meteorite Grey 120Hz,"1 299,00 zł"
85,Apple iPhone 14 Pro 128GB Space Black,"6 499,00 zł"
86,Motorola moto g52 4/128GB Charcoal Grey 90Hz,"899,00 zł"
87,Nokia G11 Dual SIM 3/32 czarny,"549,00 zł"
88,Xiaomi Redmi Note 11 Pro 6/64GB Star Blue,"1 299,00 zł"
89,Xiaomi Redmi Note 11 Pro 6/64GB Polar White ,"1 299,00 zł"
90,Samsung Galaxy M23 5G 4/128GB Green 120Hz,"1 299,00 zł"
91,Apple iPhone 13 128GB Alpine Green,"4 299,00 zł"
92,Xiaomi Redmi Note 10 Pro 6/128GB Glacier Blue 120Hz,"1 249,00 zł"
93,Xiaomi POCO X4 Pro 5G 8/256GB POCO yellow ,"1 699,00 zł"
94,Xiaomi 11T 8/128GB Celestial Blue,"1 699,00 zł"
95,Cat S62 PRO LTE czarny,"2 799,00 zł"
96,Apple iPhone 14 128GB Purple,"4 999,00 zł"
97,Xiaomi POCO M5 4/64GB Black,"849,00 zł"
98,ASUS ZenFone 9 8/256GB Black,"3 499,00 zł"
99,Nothing Phone (1) 5G 12/256GB biały 120Hz,"2 349,00 zł"
100,Xiaomi Redmi Note 11 4/64GB Star Blue ,"899,00 zł"
101,Apple iPhone 14 128GB Blue,"4 999,00 zł"
102,Samsung Galaxy M13 4/64GB Blue,"799,00 zł"
103,Xiaomi 12 8/128GB Blue,"2 799,00 zł"
104,Xiaomi Redmi Note 11 Pro 6/128GB Star Blue,"1 419,00 zł"
105,Samsung Galaxy S22 8/256GB Black,"3 599,00 zł"
106,vivo Y33s 8/128GB Mirror Black NFC ,"999,00 zł"
107,OnePlus Nord 2T 5G 12/256GB Gray Shadow 90Hz,"2 299,00 zł"
108,OnePlus Nord 2T 5G 8/128GB Jade Fog 90Hz,"1 849,00 zł"
109,realme 9 Pro+ 8+256GB Sunrise Blue OIS 60W,"1 999,00 zł"
110,OnePlus 9 Pro 5G 8/128GB Morning Mist 120Hz,"2 849,00 zł"
111,Apple iPhone 13 Mini 128GB Pink,"3 829,00 zł"
112,Apple iPhone 14 Plus 128GB Midnight,"5 699,00 zł"
113,Nokia 2660 4G Czerwony + Stacja Ładująca,"369,00 zł"
