Sklep;Nazwa;Model;Cena;Data;Procesor;Pamięć RAM;System operacyjny;Przekątna;Rozdzielczość;Matryca
MediaMarkt;SAMSUNG;Tab S7 FE 12.4;2299;2023.06.24;Qualcomm Snapdragon 778G;6 GB;Android;"12.4""";2560 x 1600;TFT/TN
MediaMarkt;SAMSUNG;Tab A8 10.5 WiFi 4GB 64GB Srebrny SM-X200NZSEEUE;999;2023.06.24;Unisoc T618;4 GB;Android;"10.5""";1920 x 1200;PLS
MediaMarkt;LENOVO;M10 Plus 2K;859;2023.06.24;MediaTek Helio G80;4 GB;Android 12;"10.61""";2000 x 1200;IPS
MediaMarkt;LENOVO;M10 Plus 2K;829;2023.06.24;MediaTek Helio G80;4 GB;Android 12;"10.61""";2000 x 1200;IPS
MediaMarkt;APPLE;10.2 (9 gen.) 64GB Wi-Fi Gwiezdna;1699;2023.06.24;Apple A13 Bionic;;iPadOS 15;"10.2""";2160 x 1620;Retina
MediaMarkt;SAMSUNG;Tab A7 Lite 8.7;599;2023.06.24;MediaTek MT8768T;3 GB;Android 11;"8.7""";1340 x 800;TFT/TN
MediaMarkt;APPLE;10.2 (9 gen.) 64GB Wi-Fi;1699;2023.06.24;Apple A13 Bionic;;iPadOS 15;"10.2""";2160 x 1620;Retina
MediaMarkt;SAMSUNG;Tab A7 Lite 8.7;599;2023.06.24;MediaTek MT8768T;3 GB;Android 11;"8.7""";1340 x 800;TFT/TN
MediaMarkt;SAMSUNG;Tab S6 Lite 10.4;1499;2023.06.24;Qualcomm Snapdragon 720G;4 GB;Android 10;"10.4""";2000 x 1200;TFT/TN
MediaMarkt;SAMSUNG;Tab A8 10.5 LTE 4GB 64GB Srebrny SM-X205NZSEEUE;1199;2023.06.24;Unisoc T618;4 GB;Android;"10.5""";1920 x 1200;PLS
MediaMarkt;SAMSUNG;Tab A7 Lite 8.7;799;2023.06.24;MediaTek MT8768T;3 GB;Android 11;"8.7""";1340 x 800;TFT/TN
MediaMarkt;SAMSUNG;Tab A8 10.5 WiFi 4GB 64GB Szary SM-X200NZAEEUE;999;2023.06.24;Unisoc T618;4 GB;Android;"10.5""";1920 x 1200;PLS
MediaMarkt;SAMSUNG;Tab A7 Lite 8.7;799;2023.06.24;MediaTek MT8768T;3 GB;Android 11;"8.7""";1340 x 800;TFT/TN
MediaMarkt;SAMSUNG;Tab S6 Lite 10.4;1499;2023.06.24;Qualcomm Snapdragon 720G;4 GB;Android 10;"10.4""";2000 x 1200;TFT/TN
MediaMarkt;APPLE;10.9 (10 gen.) 64GB Wi-Fi;2799;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Air 10.9 (5 gen.) 64GB Wi-Fi+Cellular;4289;2023.06.24;Apple M1;8 GB;iPadOS 15;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Pro 12.9 (6 gen.) 256GB Wi-Fi Gwiezdna;7249;2023.06.24;Apple M2;8 GB;iPadOS 16;"12.9""";2732 x 2048;Liquid Retina XDR
MediaMarkt;SAMSUNG;Tab A8 10.5 WiFi 4GB 128GB Szary SM-X200NZAFEUE;1199;2023.06.24;Unisoc T618;4 GB;Android;"10.5""";1920 x 1200;PLS
MediaMarkt;XIAOMI;5 11 (2021);1699;2023.06.24;Qualcomm Snapdragon 860;6 GB;Android;"11""";2560 x 1600;IPS
MediaMarkt;SAMSUNG;Tab S6 Lite 10.4;1799;2023.06.24;Qualcomm Snapdragon 720G;4 GB;Android 10;"10.4""";2000 x 1200;TFT/TN
MediaMarkt;XIAOMI;5 11;1999;2023.06.24;Qualcomm Snapdragon 860;6 GB;Android;"11""";2560 x 1600;IPS
MediaMarkt;LENOVO;M10 (3rd Gen) 10.1 4GB 64GB Wi-Fi Szary (Storm Grey) ZAAE0050PL;799;2023.06.24;Unisoc T610;4 GB;Android 11;"10.1""";1920 x 1200;IPS
MediaMarkt;SAMSUNG;Tab S8;3999;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;8 GB;Android;"11""";2560 x 1600;LTPS
MediaMarkt;HUAWEI;SE (2023);1099;2023.06.24;Qualcomm SM6225;4 GB;HarmonyOS 3.0;"10.36""";2000 x 1200;IPS
MediaMarkt;SAMSUNG;Tab S6 Lite 10.4;1799;2023.06.24;Qualcomm Snapdragon 720G;4 GB;Android 10;"10.4""";2000 x 1200;TFT/TN
MediaMarkt;LENOVO;M10 Plus 2K 10.6;1049;2023.06.24;Qualcomm Snapdragon SDM680;4 GB;Android 12;"10.61""";2000 x 1200;IPS
MediaMarkt;SAMSUNG;Tab S7 FE;2299;2023.06.24;Qualcomm Snapdragon 778G;6 GB;Android;"12.4""";2560 x 1600;TFT/TN
MediaMarkt;SAMSUNG;Tab S8 Ultra;6299;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;8 GB;Android;"14.6""";2960 x 1848;Super AMOLED
MediaMarkt;SAMSUNG;Tab S8;4339;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;8 GB;Android;"11""";2560 x 1600;LTPS
MediaMarkt;APPLE;10.2 (9 gen.) 256GB Wi-Fi Gwiezdna;2799;2023.06.24;Apple A13 Bionic;;iPadOS 15;"10.2""";2160 x 1620;Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 128GB Wi‑Fi+Cellular Gwiezdna;5679;2023.06.24;Apple M2;8 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;Pro 12.9 (6 gen.) 128GB Wi-Fi Gwiezdna;6599;2023.06.24;Apple M2;8 GB;iPadOS 16;"12.9""";2732 x 2048;Liquid Retina XDR
MediaMarkt;APPLE;Pro 11 (4 gen.) 128GB Wi-Fi Gwiezdna;4899;2023.06.24;Apple M2;8 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 256GB Wi‑Fi+Cellular;7029;2023.06.24;Apple M2;8 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;LENOVO;M8 HD;519;2023.06.24;MediaTek Helio P22T;3 GB;Android 11;"8""";1280 x 800;IPS
MediaMarkt;OPPO;Air 10.36 2023 Wi-Fi 4GB 64GB Szary;949;2023.06.24;Qualcomm Snapdragon SDM680;4 GB;ColorOS 12.1;"10.36""";2000 x 1200;IPS
MediaMarkt;APPLE;10.2 (9 gen.) 64GB Wi-Fi+Cellular Gwiezdna;2869;2023.06.24;Apple A13 Bionic;;iPadOS 15;"10.2""";2160 x 1620;Retina
MediaMarkt;APPLE;Pro 12.9 (6 gen.) 128GB Wi-Fi+Cellular Gwiezdna;7499;2023.06.24;Apple M2;8 GB;iPadOS 16;"12.9""";2732 x 2048;Liquid Retina XDR
MediaMarkt;APPLE;10.2 (9 gen.) 64GB Wi-Fi+Cellular;2779;2023.06.24;Apple A13 Bionic;;iPadOS 15;"10.2""";2160 x 1620;Retina
MediaMarkt;APPLE;mini 8.3 (6 gen.) 64GB Wi-Fi Gwiezdna;2699;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;10.2 (9 gen.) 256GB Wi-Fi+Cellular;3699;2023.06.24;Apple A13 Bionic;;iPadOS 15;"10.2""";2160 x 1620;Retina
MediaMarkt;APPLE;10.9 (10 gen.) 64GB Wi-Fi+Cellular;3759;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 256GB Wi‑Fi+Cellular Gwiezdna;6949;2023.06.24;Apple M2;8 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 256GB Wi-Fi Gwiezdna;5399;2023.06.24;Apple M2;8 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;mini 8.3 (6 gen.) 64GB Wi-Fi+Cellular Gwiezdna;4039;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;10.2 (9 gen.) 256GB Wi-Fi+Cellular Gwiezdna;3699;2023.06.24;Apple A13 Bionic;;iPadOS 15;"10.2""";2160 x 1620;Retina
